commit,chart_version,images
a980170458d95519b5ad628f4abc43d6e7479b20,10.7.15,docker.io/bitnami/redis:6.0.6-debian-10-r9
ae30b5dd4b5e89090f5bff72a195b93912599d38,10.7.16,docker.io/bitnami/redis:6.0.6-debian-10-r10
fd52e8be3accd016b7b9f4f198a26780b5e4e553,10.7.16,docker.io/bitnami/redis:6.0.6-debian-10-r10
cfc838f003105638f5cd52b0177ba2465f4ff4be,10.7.16,docker.io/bitnami/redis:6.0.6-debian-10-r10
e1882829ce1f647f8072422d862e147405b53608,10.7.17,docker.io/bitnami/redis:6.0.6-debian-10-r22
abfeef4d972dc374d8470576f9ff47284e4918ad,10.8.0,docker.io/bitnami/redis:6.0.6-debian-10-r22
f8002d65eeea7db39a301ed35a4b32dbdbad3b94,10.8.1,docker.io/bitnami/redis:6.0.7-debian-10-r0
1ed12f96af75322b46afdb2b3d9907c11b13f765,10.8.1,docker.io/bitnami/redis:6.0.7-debian-10-r0
6e0654ca9b4aed6789090ffe8833c54e45fa3a10,10.8.2,docker.io/bitnami/redis:6.0.8-debian-10-r0
10b54e81930508fc6843cf2e6b71aedcf25344bb,10.9.0,docker.io/bitnami/redis:6.0.8-debian-10-r0
782f4bfbf070f9f0c66612c9b234efc4212fd460,11.0.0,docker.io/bitnami/redis:6.0.8-debian-10-r0
1c9a9aaf51823f2f08ce30c3b8b10ad00ab4ea9a,11.0.1,docker.io/bitnami/redis:6.0.8-debian-10-r0
b67d1ae9772df7c5db48d1722eb4cd23a74b6320,11.0.2,docker.io/bitnami/redis:6.0.8-debian-10-r0
7c5816f0f7d354a32f478ed5271e74f88324cee0,11.0.2,docker.io/bitnami/redis:6.0.8-debian-10-r0
923a446e55677b563a9e89df713b57a6f6bb0dd4,11.0.3,docker.io/bitnami/redis:6.0.8-debian-10-r0
8ea9663cd40bdd08067c4b3a88ef0f3747a5df62,11.0.3,docker.io/bitnami/redis:6.0.8-debian-10-r0
ebf43f9b4b79b1877ac2530870c6d3ac14a0898d,11.0.4,docker.io/bitnami/redis:6.0.8-debian-10-r0
f712bbfba7e75ff40b78edf8e37116cacceb6d96,11.0.5,docker.io/bitnami/redis:6.0.8-debian-10-r0
d99b35c5d46e1cff957ad469a0a9f08e3805bd66,11.0.6,docker.io/bitnami/redis:6.0.8-debian-10-r0
bd582e23d3a4dc44904bdd973c5795c9b54dd37a,11.0.7,docker.io/bitnami/redis:6.0.8-debian-10-r0
cbb82d28c59660dd4671b10c547ccbe2bb15653d,11.1.0,docker.io/bitnami/redis:6.0.8-debian-10-r0
99c3ab60508e95dfe40f534d1cb7f6dc33e99051,11.1.0,docker.io/bitnami/redis:6.0.8-debian-10-r0
a4b58334911f6994ecce978132a4ee3121dfe155,11.1.1,docker.io/bitnami/redis:6.0.8-debian-10-r35
