commit,chart_version,images
f59884547f2e6474273193d738cfbbc3e8d5b01b,11.0.0,docker.io/bitnami/schema-registry:7.4.0-debian-11-r0
5b6a5cfb7625a751848a2e5cd796bd7278f406ca,11.0.0,docker.io/bitnami/schema-registry:7.4.0-debian-11-r0
ef986a1605241102b3dcafe9fd8089e6fc1201ad,11.0.0,docker.io/bitnami/schema-registry:7.4.0-debian-11-r0
ff089deb8e3872030a95879b2f7a55fb2dea76eb,11.0.1,docker.io/bitnami/schema-registry:7.4.0-debian-11-r9
31b3c0afd968ff4429107e34101f7509e6a0e913,11.0.1,docker.io/bitnami/schema-registry:7.4.0-debian-11-r9
da68be8e951225133c7dfb572d5101ca3d61c5ae,11.0.1,docker.io/bitnami/schema-registry:7.4.0-debian-11-r9
81dd63675d1ff77bf256183043a97bdfbe34ec70,11.1.0,docker.io/bitnami/schema-registry:7.4.0-debian-11-r9
42bfbf041b6e2882f979e5a96cbc3f43412b94b6,12.0.0,docker.io/bitnami/schema-registry:7.4.0-debian-11-r9
90fb4a99e82b0dfbdafd6bfe34cdb3156b302df3,12.1.0,docker.io/bitnami/schema-registry:7.4.0-debian-11-r9
56a334d0b1abaa3815905d545744bc765a152313,12.1.1,docker.io/bitnami/schema-registry:7.4.0-debian-11-r18
f2cbcf90ab712211ae0de6e0c5c03cf8efbba5f5,12.1.2,docker.io/bitnami/schema-registry:7.4.1-debian-11-r0
37a8ba5537d3add7a2c067422e0e1e740f99fca6,12.1.3,docker.io/bitnami/schema-registry:7.4.1-debian-11-r7
51897a496da1fb14cc0bb82a13057938c7437965,13.0.0,docker.io/bitnami/schema-registry:7.4.1-debian-11-r7
b4bc4b9d95c7edaa492616ab3072f3601386bad2,13.0.1,docker.io/bitnami/schema-registry:7.4.1-debian-11-r7
05e0a88f609c7a4e87b9d7327c6fcd8256174248,13.0.2,docker.io/bitnami/schema-registry:7.4.1-debian-11-r7
ce98de40cf03e50ff2a4c9bd2ed81cde08ec3f7c,13.0.3,docker.io/bitnami/schema-registry:7.4.1-debian-11-r23
02a344b8de56a8b26521ed442b8bb122d1da94a2,13.0.4,docker.io/bitnami/schema-registry:7.4.1-debian-11-r23
2843cafaff6b930f611044a7f7e5f583347589e3,13.0.5,docker.io/bitnami/schema-registry:7.4.1-debian-11-r25
573f67712fa20c4cb6e09abdf22532dc3d6bc382,13.1.0,docker.io/bitnami/schema-registry:7.4.1-debian-11-r25
1db7ab9676df504d27f49b76c6df7047c84859b0,14.0.0,docker.io/bitnami/schema-registry:7.4.1-debian-11-r25
a2c2090b5ac97f47b745c8028c6452bf99739772,14.0.0,docker.io/bitnami/schema-registry:7.4.1-debian-11-r25
5bab777c2e6158c2f2dcb3ae5ad828a4a4804da1,14.0.1,docker.io/bitnami/schema-registry:7.4.1-debian-11-r25
73d80be525c88fb4b8a54451a55acd506e337062,14.0.1,docker.io/bitnami/schema-registry:7.4.1-debian-11-r25
e56aeb2fbfbf5b6e42375db48cc7ae1ef1c3a823,14.0.1,docker.io/bitnami/schema-registry:7.4.1-debian-11-r25
e06327ecd2a160f4b663f8dd4a34e52df5bb6960,14.0.2,docker.io/bitnami/schema-registry:7.4.1-debian-11-r48
f8fa4eca4da234b2ebe3148adea12d371fa92427,14.1.0,docker.io/bitnami/schema-registry:7.4.1-debian-11-r48
4acaae2ee5b0e56a013bbf191b2a05772a660a56,14.1.1,docker.io/bitnami/schema-registry:7.4.1-debian-11-r53
0b9911fcadf08d236f0eaab9918b613932c529f7,15.0.0,docker.io/bitnami/schema-registry:7.5.0-debian-11-r0
eb755dd36a4dd3cf6635be8e0598f9a7f4c4a554,15.0.0,docker.io/bitnami/schema-registry:7.5.0-debian-11-r0
e5abc58d016f011a3d7ca763c56387e8bd0729a6,15.0.1,docker.io/bitnami/schema-registry:7.5.1-debian-11-r1
0840bed20435699b6dae1c31d0c1821020566942,15.0.2,docker.io/bitnami/schema-registry:7.5.1-debian-11-r1
ea2d2ba04dc221d4563eb01d9c1b732b570124cb,16.0.0,docker.io/bitnami/schema-registry:7.5.1-debian-11-r1
af5f7530c1bc8c5ded53a6c4f7b8f384ac1804f2,16.0.0,docker.io/bitnami/schema-registry:7.5.1-debian-11-r1
bb9a01b65911c87e48318db922cc05eb42785e42,16.0.0,docker.io/bitnami/schema-registry:7.5.1-debian-11-r1
3acc73472beb6fb56c4d99f929061001205bc57e,16.0.0,docker.io/bitnami/schema-registry:7.5.1-debian-11-r1
590ad88e40fdbd852d61415025d45d78ec4f3713,15.1.0,docker.io/bitnami/schema-registry:7.5.1-debian-11-r1
356913c9819ed83b6f2308eb16bb4bc7a336d173,16.1.0,docker.io/bitnami/schema-registry:7.5.1-debian-11-r1
9efebf1ffe81ca168aec4f053047e67bfababfba,16.2.0,docker.io/bitnami/schema-registry:7.5.1-debian-11-r1
6d511d43521dd04803250550d967a85073166f5c,16.2.1,docker.io/bitnami/schema-registry:7.5.1-debian-11-r1
6bf2a27b01f3272b2e652fd2dfadd17d02aa4aaa,16.2.2,docker.io/bitnami/schema-registry:7.5.2-debian-11-r0
11036334d82df0490aa4abdb591543cab6cf7d7f,16.2.2,docker.io/bitnami/schema-registry:7.5.2-debian-11-r0
b82f979e4fb63423fe6e2192c946d09d79c944fc,16.2.2,docker.io/bitnami/schema-registry:7.5.2-debian-11-r0
2d40442f439bb542c174a0f2950661dbef67cf1a,16.2.3,docker.io/bitnami/schema-registry:7.5.2-debian-11-r0
6dc8c8548e44ff82c9cd47efdab2bcafa9eccfed,16.2.4,docker.io/bitnami/schema-registry:7.5.2-debian-11-r0
f7048a5ed37b66b434df95742f1f59439d1b73de,16.2.5,docker.io/bitnami/schema-registry:7.5.2-debian-11-r1
6c4bf75dec58fc7c9aee9f089777b1a858c17d5b,16.2.5,docker.io/bitnami/schema-registry:7.5.2-debian-11-r1
faa1aa1fede642ff4daa4cc6f6bb68652ebf7c39,16.2.6,docker.io/bitnami/schema-registry:7.5.3-debian-11-r0
f35506d2dadee4f097986e7792df1f53ab215b5d,16.2.6,docker.io/bitnami/schema-registry:7.5.3-debian-11-r0
e4fa296106b225cf8c82445727c675c7c725e380,16.2.6,docker.io/bitnami/schema-registry:7.5.3-debian-11-r0
fb95fa0ed06ea45720ad73d8e0f218c18f17b8ca,16.2.7,docker.io/bitnami/schema-registry:7.5.3-debian-11-r0
f82e52ff76eedd4aa841bc33aa7236b9eb492cda,16.3.0,docker.io/bitnami/schema-registry:7.5.3-debian-11-r0
528322af996b8a722978e95440bbb0463ded74c1,16.3.1,docker.io/bitnami/schema-registry:7.5.3-debian-11-r0
375d08a57639dd161368c51402959ee3af34464c,16.4.0,docker.io/bitnami/schema-registry:7.5.3-debian-11-r0
4f37c1063130304c3182d9e764bdc80dad2324cd,16.4.1,docker.io/bitnami/schema-registry:7.5.3-debian-11-r0
7564f36ca1e95ff30ee686652b7ab8690561a707,16.4.1,docker.io/bitnami/schema-registry:7.5.3-debian-11-r0
a130bc9fff56f16ae3939df50c335cf251f705ea,16.5.0,docker.io/bitnami/schema-registry:7.5.3-debian-11-r0
734ed94c6fdfc5afdfa08ba156ecd9df90643061,16.6.0,docker.io/bitnami/schema-registry:7.5.3-debian-11-r0
8b3ff9ec769770eef5441bc5eb10ee4a2d89b3f3,16.6.1,docker.io/bitnami/schema-registry:7.5.3-debian-11-r2
566674fea0d3ef2ee658f949cc33b6bc9c511510,16.6.2,docker.io/bitnami/schema-registry:7.5.3-debian-11-r3
098918ecab7793ff0497d914bac6dee1af41bf26,16.6.3,docker.io/bitnami/schema-registry:7.5.3-debian-11-r3
946b649cf32c7ea7f14618ab5bc64eb8103a1dbf,16.7.0,docker.io/bitnami/schema-registry:7.5.3-debian-11-r3
b70ee2a30e4dc256bf0ac52928fb2fa7a70f049b,16.8.0,docker.io/bitnami/schema-registry:7.5.3-debian-11-r3
a30dddc1883dcf95f82e9f2dc2a3360afda8a24e,16.9.0,docker.io/bitnami/schema-registry:7.5.3-debian-11-r17
fb2750cc7e3a217bf585f4a763083fe235d09539,16.9.1,docker.io/bitnami/schema-registry:7.5.3-debian-12-r8
724ce71157ff01f559a6ce03e447d8ebe55b8d82,16.9.2,docker.io/bitnami/schema-registry:7.5.3-debian-12-r10
5ce0e4282b1da15c8fe41746a26857ec0201d4bb,16.9.3,docker.io/bitnami/schema-registry:7.5.3-debian-12-r10
e2a8855192ccbc94c46b1b70035b829a765b9410,17.0.0,docker.io/bitnami/schema-registry:7.6.0-debian-12-r0
814bfc54684c8118bfcab0b842507d0607ea6495,17.0.1,docker.io/bitnami/schema-registry:7.6.0-debian-12-r0
