commit,chart_version,images
63bde066b87a140fab52264d0522401ab3d63509,8.0.9,docker.io/bitnami/mongodb:4.2.8-debian-10-r26
0336cb351a61f0f6093e7ea0771466ecfd0bca4d,8.1.0,docker.io/bitnami/mongodb:4.2.8-debian-10-r26
da1225d2972ee6e0f48f4091218fd5aaa46a4156,8.1.1,docker.io/bitnami/mongodb:4.2.8-debian-10-r31
15a4eaa63b321755e753962ffca32758163460f5,8.1.1,docker.io/bitnami/mongodb:4.2.8-debian-10-r31
bb8b520840b54a507f127ccba601aa514f37d725,8.1.2,docker.io/bitnami/mongodb:4.2.8-debian-10-r31
4e772b1f966d4138c485c46811969ef62ed64fc9,8.1.3,docker.io/bitnami/mongodb:4.2.8-debian-10-r33
d1f0b7b22e81e3536121a6ac57b28327935fb7fc,8.1.4,docker.io/bitnami/mongodb:4.2.8-debian-10-r33
7efaf3fdf94880f64d12c1ec6ed80304ada741cf,8.1.5,docker.io/bitnami/mongodb:4.2.8-debian-10-r37
ed275c5f8748e233dfe85b9e1bcea2723a638cd9,8.2.0,docker.io/bitnami/mongodb:4.2.8-debian-10-r37
7dcc46ae23080015895721b9f860e80dbe0bfffd,8.2.1,docker.io/bitnami/mongodb:4.2.8-debian-10-r39
3d7ab406fecd64f1af25f53e7d27f03ec95b29a4,8.2.1,docker.io/bitnami/mongodb:4.2.8-debian-10-r39
938cd95e6ae334b4580dddafff0cde68f8f16f46,8.2.2,docker.io/bitnami/mongodb:4.2.8-debian-10-r46
350f6653bfcb3fd161ec71d668e568a73d37a9fd,8.2.3,docker.io/bitnami/mongodb:4.2.8-debian-10-r46
dbfdbb277b0c9171ca29b52d990d5ef720c3cc06,8.2.4,docker.io/bitnami/mongodb:4.2.8-debian-10-r47
39fc0e2e29d2bf81892374d754d8c3dfba924fb6,8.2.4,docker.io/bitnami/mongodb:4.2.8-debian-10-r47
b4550164c8572682f36ea6dfe493999840ca0a94,8.2.5,docker.io/bitnami/mongodb:4.2.8-debian-10-r47
28dfe8395c4bb21b9aa50d830c51946b6f6bf45e,8.2.5,docker.io/bitnami/mongodb:4.2.8-debian-10-r47
079f5bd6ec59bb058216d6a931449b895517c789,8.3.0,docker.io/bitnami/mongodb:4.2.8-debian-10-r47
a3bae01ad63912e3b5c4c4742928df09573b6d6c,8.3.1,docker.io/bitnami/mongodb:4.2.8-debian-10-r47
a4ef29dfb1df32b3bc5504c84acd39717d40f9b4,8.3.2,docker.io/bitnami/mongodb:4.2.9-debian-10-r0
e24e044e30297722a65fcfaa44b9182f80abb145,8.3.2,docker.io/bitnami/mongodb:4.2.9-debian-10-r0
99c83cf16905bc0849e7f569264a450cc6425edf,9.0.0,docker.io/bitnami/mongodb:4.4.0-debian-10-r0
2e556153228b0bd79728adaaea72570ad76aa2a3,9.0.1,docker.io/bitnami/mongodb:4.4.0-debian-10-r0
1ed12f96af75322b46afdb2b3d9907c11b13f765,9.0.1,docker.io/bitnami/mongodb:4.4.0-debian-10-r0
c4c878369f0aced7257d33c81cf361d57011c0b9,9.1.0,docker.io/bitnami/mongodb:4.4.0-debian-10-r0
5885fb1012f4335d53d8e819e60d58e546358334,9.1.1,docker.io/bitnami/mongodb:4.4.1-debian-10-r0
